Ligand,InChIKey,IC50_nM,Type,Original_Unit
T20,IEOZVBDPTHRYGK-UHFFFAOYSA-N,8.2,Ki,nM
STU,HKSZLNNOFSGOKW-FYTWVXJKSA-N,34.0,IC50,nM
42P,JCZKEQVPLPZLFI-ZPUIDXCVSA-N,,,
XPY,LAXFSYWLDNVHAQ-NWDGAFQWSA-N,0.3,IC50,nM
4GD,MCBSZIDQUDBWTG-UHFFFAOYSA-N,2200.0,IC50,nM
4GF,AUKFLCXWCUBZOW-UHFFFAOYSA-N,13.0,IC50,nM
4S1,HIFONLZQROGEJE-PREXVCJDSA-N,1193000.0,IC50,nM
4S2,FXWUDZUPMZEZQL-NRXFTUCASA-N,25.0,IC50,nM
4S3,FWVSQXVRLKRCRX-CYBMUJFWSA-N,187.0,IC50,nM
6QY,JPINYIWLTLYJCV-SHTZXODSSA-N,59.0,IC50,nM
6QX,URDBLCLSFRUNRD-HAQNSBGRSA-N,50.0,Ki,nM
6R1,DJVYXMINSBMUHH-QAQDUYKDSA-N,5.0,IC50,nM
6R0,MLNKSPKBBXWPSG-VNYTWHDVSA-N,2.0,IC50,nM
6QZ,MLNKSPKBBXWPSG-XCJLJZCSSA-N,2.0,IC50,nM
6YD,XTVOMCVEGADMQN-UHFFFAOYSA-N,32.0,IC50,nM
6YE,LIUCOMBTIJNNMB-UHFFFAOYSA-N,150.0,IC50,nM
76Q,XXIAQHKXGSSEJL-UHFFFAOYSA-N,,,
76P,UCYLWJABRYZSHN-AULYBMBSSA-N,58.0,IC50,nM
8BV,BTHLVVULQLRTBK-UHFFFAOYSA-N,55000.0,IC50,nM
8BY,IDCYKLUUMJIGRR-UHFFFAOYSA-N,71.9,IC50,nM
8C1,WFDCRJQKOODGGI-GFCCVEGCSA-N,146.0,IC50,nM
8CD,YLJNGHKLWZPDSX-LBPRGKRZSA-N,4.6,IC50,nM
8CG,JKDGKIBAOAFRPJ-ZBINZKHDSA-N,0.2,IC50,nM
9YY,MSYMSSQHTUWZDQ-UHFFFAOYSA-N,360.0,IC50,nM
9YS,MPNICXIXNBEDOD-KRWDZBQOSA-N,10.0,IC50,nM
0LI,PHXJVRSECIGDHY-UHFFFAOYSA-N,2190.0,Kd,nM
J8A,BBTDRPBKISKELY-UHFFFAOYSA-N,165.0,IC50,nM
J87,SAACSZSWNHZEBE-UHFFFAOYSA-N,,,
DL1,RAFFLDOJXQAJPF-UHFFFAOYSA-N,20.0,IC50,nM
CJT,APLFXDJBXZUPOM-BIAGXBKMSA-N,758.0,IC50,nM
CJQ,VZOLINZYKOLXAC-RBSFLKMASA-N,7.5,Ki,nM
CJN,ODGACFGAGYOOJS-HDJSIYSDSA-N,69.0,IC50,nM
CKN,RGHNWSCEPVZMFH-KBAYOESNSA-N,21.0,IC50,nM
EXF,SNCZIVUNTWOQAF-OAHLLOKOSA-N,3.4,IC50,nM
JX4,IALDYVNFZAPNJV-OAHLLOKOSA-N,,,
KFD,WDJXZWXJDHUFQZ-UHFFFAOYSA-N,,,
LS7,LGCXMCBXSOYDBH-UHFFFAOYSA-N,5.0,Ki,nM
LRS,LVDMRCKBQDTUEU-UHFFFAOYSA-N,1.8,Ki,nM
LSV,JLKSBHRAVFWETB-OAQYLSRUSA-N,460.0,IC50,nM
LTY,BFBOXYLGKAPSFY-UHFFFAOYSA-N,2.0,IC50,nM
K1H,YCFRZMCRPHNZOC-QAQDUYKDSA-N,160.0,IC50,nM
K1E,RPGMSHCJIWHISY-IRJFHVNHSA-N,46.0,IC50,nM
NBK,SZURKEABSBIIMJ-UHFFFAOYSA-N,3.0,IC50,nM
N9Z,JFENAOLGJWVSCK-UHFFFAOYSA-N,2.0,IC50,nM
NB5,XGNWCJAZTBIOLY-UHFFFAOYSA-N,3.0,IC50,nM
NBW,LBHMENCKRXLUJV-UHFFFAOYSA-N,13.0,IC50,nM
ND2,WGMWEVJCHUDPID-UHFFFAOYSA-N,3.0,IC50,nM
QL7,AUYCSWFYKYVCLD-HXUWFJFHSA-N,1.4,Ki,nM
R7S,SHENXRCDBJGWNU-GOSISDBHSA-N,240.0,IC50,nM
FJ0,SJHNWSAWWOAWJH-MRXNPFEDSA-N,31.7,IC50,nM
FJ9,PAUKYBZPOFBYCW-UHFFFAOYSA-N,1488.0,IC50,nM
B8I,HGLZLKIEOLRRSD-UAPYVXQJSA-N,23.0,IC50,nM
B6I,AIAGZIFHIUIDFP-UHFFFAOYSA-N,1.0,IC50,nM
B4U,AQXBTRKLRVCCRH-HNNXBMFYSA-N,2.0,IC50,nM
B7R,DDQTUBYTBBXGML-UHFFFAOYSA-N,4.0,IC50,nM
SO9,ALXDIYXXVBXYGK-VVVONTASSA-N,3.0,IC50,nM
ZVD,STMUIBGUZVAURD-CQSZACIVSA-N,8.1,IC50,nM
ZVG,UFIWUTUQZFYHKK-OAHLLOKOSA-N,5.3,IC50,nM
ZVA,KXZCEDGLILHLAT-QGZVFWFLSA-N,2.6,IC50,nM
VDC,YRZABOXBJPGNGN-PXAYELCQSA-N,,,
VE9,YRZABOXBJPGNGN-JFHOTQKMSA-N,,,
VEU,JJZLDWBCAMPSMG-RQNOJGIXSA-N,,,
X1T,OJFHALJCAIWBCB-ZDUSSCGKSA-N,0.9,IC50,nM
WFQ,DEQCXGYERMCXNL-YHBQERECSA-N,,,
Y9T,NWFPCWIBSBZRGV-UHFFFAOYSA-N,8.6,IC50,nM
YJU,JQMIRXOVVPAXPB-KOMQPUFPSA-N,,,
YK0,YTQVSNUZNYHPOL-UHFFFAOYSA-N,,,
